SITZUNGSDAUERLAUF -- samsung SM-A156B
Android 16 (API 36)

300 vollständige Diktate hintereinander, im selben Prozess.
Ohne Neustart, ohne Hintergrund, ohne erzwungenes Aufräumen.
Seitengröße für RSS: 4 KB (fest angenommen).

KONTROLLSITZUNG
  Text erkannt: ja, Fehler keiner, Zeiger 173
  in Ordnung

VERLAUF -- jede Sitzung
  Nr   Zeig   Fäden  Java KB  nativ    RSS KB   Start   Dauer   Aufräum Text
  1    173    14     8841     22729    164908   31      3144    1       ja
  2    173    13     8977     22618    165408   27      3148    1       ja
  3    172    13     4607     22835    163564   30      3144    1       ja
  4    172    13     4807     22841    163572   29      3152    0       ja
  5    172    13     4943     22843    163568   26      3159    1       ja
  6    172    13     5143     22844    163800   26      3149    1       ja
  7    172    13     5279     22848    163796   24      3161    2       ja
  8    172    13     5447     22856    164024   24      3157    1       ja
  9    172    13     5615     22854    164020   25      3159    1       ja
  10   176    13     5895     22951    165252   52      3149    1       ja
  11   176    13     6031     22952    165476   30      3146    2       ja
  12   176    13     6208     23343    165764   27      3149    1       ja
  13   176    13     6376     23337    166000   26      3171    2       ja
  14   176    13     6552     23344    165996   31      3150    2       ja
  15   176    13     6720     23336    166232   27      3151    1       ja
  16   176    13     6896     23345    166224   29      3148    2       ja
  17   176    13     7064     23342    166452   30      3162    2       ja
  18   176    13     7272     23347    166448   24      3165    1       ja
  19   176    13     7408     23347    166684   28      3156    1       ja
  20   180    13     7680     23319    167192   51      3160    1       ja
  21   180    13     7848     23324    167188   27      3160    0       ja
  22   180    13     7985     23328    167420   25      3145    2       ja
  23   180    13     8201     22969    167532   29      3153    1       ja
  24   180    13     8337     22950    167988   26      3146    0       ja
  25   180    13     8505     22916    167984   30      3159    2       ja
  26   180    13     8737     22862    168224   27      3147    1       ja
  27   180    13     8873     22860    168220   30      3152    2       ja
  28   180    13     9057     22862    168216   22      3145    1       ja
  29   180    13     9225     22890    168444   32      3152    2       ja
  30   183    13     9465     22925    168608   50      3159    2       ja
  31   183    13     9673     22892    168844   29      3150    2       ja
  32   183    13     9842     22896    168840   31      3151    2       ja
  33   183    13     10042    22898    169072   26      3157    2       ja
  34   183    13     10218    22872    169084   27      3157    1       ja
  35   183    13     10386    22869    169316   31      3162    1       ja
  36   183    13     4787     22622    165900   32      3155    1       ja
  37   183    13     4955     22623    165896   29      3153    1       ja
  38   183    13     5091     22634    166128   26      3156    1       ja
  39   183    13     5323     22581    166124   27      3162    1       ja
  40   186    13     5555     22586    166352   50      3161    2       ja
  41   186    13     5763     22574    166348   31      3150    0       ja
  42   186    15     5995     22747    166592   16      3161    2       ja
  43   186    15     6163     22749    166588   15      3162    1       ja
  44   186    15     6347     22751    166816   28      3149    2       ja
  45   186    15     6516     22748    166820   29      3152    0       ja
  46   186    15     6684     22753    166816   29      3148    1       ja
  47   186    15     6868     22756    167048   27      3145    1       ja
  48   186    15     7068     22765    167044   22      3144    1       ja
  49   186    15     7204     22765    167496   27      3152    1       ja
  50   185    15     7476     22770    167576   42      3149    1       ja
  51   185    15     7660     22773    167812   26      3152    2       ja
  52   185    15     7828     22781    167808   27      3152    1       ja
  53   185    15     7996     22780    168036   24      3159    1       ja
  54   185    15     8180     22788    168032   30      3153    2       ja
  55   185    15     8349     22784    168028   26      3151    1       ja
  56   185    15     8517     22793    167300   15      3087    1       ja
  57   185    15     8701     22794    167296   23      3192    1       ja
  58   185    15     8901     22796    167532   31      3145    2       ja
  59   185    15     9101     22793    167528   35      3139    0       ja
  60   185    15     9341     22917    168544   54      3131    2       ja
  61   185    15     9557     22920    168540   28      3153    2       ja
  62   185    15     9725     22930    168768   25      3160    2       ja
  63   185    15     9861     22934    169016   25      3152    1       ja
  64   185    15     10077    22939    169012   27      3158    2       ja
  65   185    15     10246    22940    169244   24      3154    1       ja
  66   185    15     10414    22949    169540   23      3142    0       ja
  67   185    15     10598    22948    169872   29      3154    1       ja
  68   185    15     4835     22641    165900   24      3155    2       ja
  69   185    15     5035     22643    166052   24      3160    1       ja
  70   185    15     5307     22749    166128   69      3143    2       ja
  71   185    16     5507     22998    166376   31      3151    2       ja
  72   185    16     5675     23004    166372   26      3155    1       ja
  73   185    16     5859     23009    166604   23      3159    1       ja
  74   185    16     6027     23012    166600   26      3153    1       ja
  75   185    16     6195     23006    166832   23      3149    0       ja
  76   185    16     6379     23014    166828   26      3153    0       ja
  77   185    16     6548     23015    166824   21      3160    2       ja
  78   185    16     6716     23017    167248   27      3159    0       ja
  79   185    16     6900     23016    167244   14      3145    1       ja
  80   185    16     7172     23013    167604   48      3155    1       ja
  81   185    16     7340     23018    167600   26      3159    2       ja
  82   185    16     7508     22839    167872   28      3157    1       ja
  83   185    16     7692     22839    167868   29      3154    0       ja
  84   185    16     7860     22845    167864   29      3152    2       ja
  85   185    16     8028     22853    168092   31      3153    2       ja
  86   185    16     8212     22854    168088   29      3164    1       ja
  87   185    16     8381     22853    168324   30      3149    0       ja
  88   185    16     8549     22862    168320   30      3162    1       ja
  89   185    16     8733     22867    168556   31      3155    1       ja
  90   185    16     8941     23036    168556   51      3164    2       ja
  91   185    16     9141     23035    168784   26      3156    1       ja
  92   185    16     9277     23046    168780   31      3160    1       ja
  93   185    16     9461     23042    169020   46      3154    1       ja
  94   185    16     9661     23046    169276   24      3156    1       ja
  95   185    16     9797     23051    169272   24      3161    0       ja
  96   185    16     9981     23055    169504   26      3155    2       ja
  97   185    16     10181    23055    169500   30      3166    0       ja
  98   185    16     10350    23063    169736   30      3142    0       ja
  99   185    16     10598    23062    169732   28      3161    1       ja
  100  185    16     4959     22806    165948   48      3155    1       ja
  101  185    16     5167     22808    165940   30      3152    2       ja
  102  185    16     5335     22811    166256   23      3155    2       ja
  103  185    16     5471     22812    166252   26      3164    2       ja
  104  185    17     5751     22905    166628   33      3154    2       ja
  105  185    17     5951     22904    166624   26      3166    1       ja
  106  185    17     6119     22903    166856   26      3154    2       ja
  107  185    17     6335     22908    166852   24      3151    1       ja
  108  185    17     6504     22914    166848   27      3156    1       ja
  109  185    17     6640     22918    167080   25      3163    0       ja
  110  185    17     6912     23062    167308   48      3153    2       ja
  111  185    17     7096     23060    167544   25      3158    0       ja
  112  185    17     7296     23066    167540   27      3156    2       ja
  113  185    17     7432     23076    167772   26      3155    1       ja
  114  185    17     7616     23075    167768   27      3156    0       ja
  115  185    17     7816     23080    167764   27      3148    1       ja
  116  185    17     7952     23083    167992   25      3158    1       ja
  117  185    17     8168     23085    167988   30      3165    1       ja
  118  185    17     8369     23085    168224   28      3157    2       ja
  119  185    17     8505     23093    168220   25      3137    2       ja
  120  185    17     8777     23159    168712   54      3161    2       ja
  121  185    17     8961     23159    168708   27      3156    2       ja
  122  185    17     9161     23166    168936   26      3154    2       ja
  123  185    17     9297     23165    169012   32      3149    1       ja
  124  185    17     9481     23169    169244   30      3154    2       ja
  125  185    17     9681     23169    169240   30      3154    1       ja
  126  185    17     9817     23173    169236   25      3151    0       ja
  127  185    17     10001    23179    169468   32      3152    2       ja
  128  185    17     10202    23187    169464   27      3156    2       ja
  129  185    17     10338    23185    169700   32      3156    0       ja
  130  185    17     10610    23204    169692   50      3151    1       ja
  131  185    17     10794    23201    170020   27      3146    0       ja
  132  185    18     5003     22940    166256   35      3150    2       ja
  133  185    18     5171     22945    166476   24      3155    1       ja
  134  185    18     5371     22950    166472   25      3155    2       ja
  135  185    18     5507     22953    166700   22      3157    2       ja
  136  185    18     5691     22957    166696   24      3154    2       ja
  137  185    18     5891     22959    166692   24      3159    0       ja
  138  185    18     6027     22961    166924   22      3166    0       ja
  139  185    18     6243     22965    166920   26      3162    2       ja
  140  185    18     6483     23079    167188   55      3158    2       ja
  141  185    18     6684     23084    167184   26      3161    1       ja
  142  185    18     6820     23088    167420   27      3161    2       ja
  143  185    18     7004     23086    167416   31      3153    2       ja
  144  185    18     7204     23092    167644   28      3152    1       ja
  145  185    18     7340     23092    167640   22      3164    2       ja
  146  185    18     7524     23092    167636   25      3162    0       ja
  147  185    18     7724     23101    167868   27      3123    1       ja
  148  185    18     7860     23103    167900   34      3160    0       ja
  149  185    18     8076     23113    168140   28      3151    1       ja
  150  185    18     8316     23086    168136   48      3151    1       ja
  151  185    18     8517     23057    168480   30      3142    2       ja
  152  185    18     8685     23058    168476   26      3154    1       ja
  153  185    18     8869     23059    168704   25      3156    2       ja
  154  185    18     9069     23069    168700   27      3152    2       ja
  155  185    18     9205     23072    168696   27      3157    1       ja
  156  185    18     9389     23076    168924   27      3152    2       ja
  157  185    18     9589     23080    168920   31      3151    1       ja
  158  185    18     9725     23083    169156   31      3161    2       ja
  159  185    18     9909     23083    169152   29      3155    1       ja
  160  185    18     10181    23221    169628   48      3160    2       ja
  161  185    18     10350    23226    169624   29      3158    2       ja
  162  185    18     10518    23228    169856   28      3153    2       ja
  163  185    18     10702    23228    169852   27      3155    1       ja
  164  185    18     4999     22895    165932   37      3154    1       ja
  165  185    18     5207     22883    166076   26      3153    1       ja
  166  185    18     5407     22885    166308   31      3148    1       ja
  167  185    18     5543     22887    166304   29      3157    2       ja
  168  185    18     5727     22896    166300   32      3145    1       ja
  169  185    18     5927     22896    166532   30      3156    2       ja
  170  185    18     6191     22909    166728   52      3159    1       ja
  171  185    18     6327     22909    166964   33      3153    2       ja
  172  185    18     6511     22913    166960   30      3154    2       ja
  173  185    18     6712     22918    167188   35      3159    1       ja
  174  185    18     6848     22919    167184   32      3156    2       ja
  175  185    18     7032     22919    167180   29      3160    2       ja
  176  185    18     7232     22919    167412   30      3160    2       ja
  177  185    18     7400     22920    167408   29      3157    2       ja
  178  185    18     7584     22928    167644   26      3161    2       ja
  179  185    18     7784     22919    167588   27      3154    1       ja
  180  185    18     8016     22953    167820   47      3148    1       ja
  181  185    18     8216     22960    167816   25      3154    1       ja
  182  185    18     8400     22962    167996   26      3135    2       ja
  183  185    18     8601     22963    168000   21      3158    2       ja
  184  185    18     8737     22963    167996   22      3161    2       ja
  185  185    18     8921     22965    168488   26      3150    2       ja
  186  185    18     9153     22976    168484   32      3163    1       ja
  187  185    18     9289     22980    168716   29      3156    1       ja
  188  185    18     9473     22984    168712   31      3146    1       ja
  189  185    18     9673     22987    168944   27      3147    1       ja
  190  185    18     9873     23105    169084   59      3140    0       ja
  191  185    18     10009    23106    169248   20      3112    1       ja
  192  185    18     10225    23110    169268   29      3156    1       ja
  193  185    18     10393    23110    164512   31      3152    1       ja
  194  185    18     10530    23111    164744   28      3137    0       ja
  195  185    18     10746    23107    164740   25      3158    2       ja
  196  185    18     5039     22775    161364   34      3148    2       ja
  197  185    18     5207     22784    161360   31      3149    2       ja
  198  185    19     5439     22870    161596   34      3149    0       ja
  199  185    19     5639     22864    161776   25      3147    2       ja
  200  185    19     5911     22854    162736   52      3154    2       ja
  201  185    19     6095     22861    162732   26      3154    1       ja
