SITZUNGSDAUERLAUF -- samsung SM-A156B
Android 16 (API 36)

300 vollständige Diktate hintereinander, im selben Prozess.
Ohne Neustart, ohne Hintergrund, ohne erzwungenes Aufräumen.
Seitengröße für RSS: 4 KB (fest angenommen).

KONTROLLSITZUNG
  Text erkannt: ja, Fehler keiner, Zeiger 172
  in Ordnung

VERLAUF -- jede Sitzung
  Nr   Zeig   Fäden  Java KB  nativ    RSS KB   Start   Dauer   Aufräum Text
  1    172    14     7585     22380    162948   29      3116    1       ja
  2    171    13     4519     22498    161508   31      3111    1       ja
  3    171    13     4719     22500    161504   32      3122    1       ja
  4    171    13     4855     22502    161428   20      3128    1       ja
  5    171    13     5087     22503    161424   31      3126    1       ja
  6    171    14     5255     22596    161432   30      3108    1       ja
  7    171    14     5455     22600    161660   15      3138    1       ja
  8    171    14     5623     22609    161656   27      3127    1       ja
  9    171    14     5791     22607    162124   24      3126    1       ja
  10   175    14     6023     22666    162676   51      3121    1       ja
  11   175    14     6224     22664    162900   32      3123    0       ja
  12   175    14     6360     22677    162896   27      3121    1       ja
  13   175    14     6536     22674    162892   26      3127    1       ja
  14   175    14     6704     22683    163124   29      3133    1       ja
  15   175    14     6880     22682    163120   25      3127    1       ja
  16   175    14     7016     22692    163356   27      3126    1       ja
  17   175    14     7224     22696    163352   29      3128    0       ja
  18   175    14     7360     22698    163580   24      3128    1       ja
  19   175    14     7568     22696    163576   29      3130    1       ja
  20   179    14     7768     22725    163972   54      3121    0       ja
  21   179    14     7985     22720    164196   30      3131    1       ja
  22   179    14     8121     22715    164192   32      3119    1       ja
  23   179    14     8337     22721    164428   30      3130    1       ja
  24   179    14     8505     22723    164424   28      3127    0       ja
  25   179    14     8689     22719    164656   27      3125    1       ja
  26   179    15     8889     22774    164660   29      3119    0       ja
  27   179    15     9073     22742    164888   30      3134    1       ja
  28   179    15     9209     22688    164884   26      3127    1       ja
  29   179    15     9425     22689    164880   27      3122    1       ja
  30   182    15     9625     22747    165116   53      3136    1       ja
  31   182    15     9842     22752    165360   25      3123    0       ja
  32   182    15     10010    22756    165596   30      3121    1       ja
  33   182    15     10146    22762    165592   29      3129    0       ja
  34   182    15     10354    22763    165824   31      3121    0       ja
  35   182    15     4759     22519    162232   30      3128    1       ja
  36   182    15     4927     22523    162432   30      3128    1       ja
  37   182    15     5063     22528    162428   29      3125    1       ja
  38   182    15     5279     22534    162424   28      3123    1       ja
  39   182    15     5447     22535    162652   30      3122    1       ja
  40   185    15     5679     23204    163096   53      3113    0       ja
  41   185    15     5855     23205    163332   31      3132    1       ja
  42   185    15     6055     23190    163328   29      3129    1       ja
  43   185    15     6191     23175    163556   29      3125    1       ja
  44   185    15     6376     23183    163552   27      3120    1       ja
  45   185    15     6576     23185    163548   27      3122    0       ja
  46   185    15     6712     23185    164012   30      3123    0       ja
  47   185    15     6896     23188    164008   28      3129    1       ja
  48   185    15     7096     23195    164244   31      3126    0       ja
  49   185    15     7232     23198    164240   33      3127    0       ja
  50   185    15     7512     23246    164468   54      3134    1       ja
  51   185    15     7680     23246    164464   31      3120    1       ja
  52   185    15     7816     23253    164696   30      3126    1       ja
  53   185    15     8032     23261    164692   29      3126    1       ja
  54   185    15     8201     23261    164688   26      3117    1       ja
  55   185    15     8369     22791    165020   33      3125    1       ja
  56   185    17     8681     22969    165036   29      3127    0       ja
  57   185    17     8881     22972    165272   28      3123    1       ja
  58   185    17     9049     22977    165268   26      3128    1       ja
  59   185    17     9233     22979    165500   27      3128    1       ja
  60   185    17     9497     23118    165828   52      3124    0       ja
  61   185    17     9633     23114    166060   30      3124    1       ja
  62   185    17     9849     23119    166056   26      3121    1       ja
  63   185    17     10017    23123    166052   27      3119    1       ja
  64   185    17     10154    23127    166284   24      3118    0       ja
  65   185    17     10370    23125    166280   28      3129    1       ja
  66   185    17     10538    23125    166516   29      3121    1       ja
  67   185    17     4811     22810    162516   27      3131    1       ja
  68   185    17     4979     22814    162752   27      3127    1       ja
  69   185    17     5147     22824    162748   31      3127    1       ja
  70   185    17     5379     22821    163004   50      3127    0       ja
  71   185    17     5595     22822    163000   30      3121    1       ja
  72   185    17     5795     22820    163464   33      3121    1       ja
  73   185    17     6027     22803    162744   30      3139    1       ja
