SITZUNGSDAUERLAUF -- Google sdk_gphone64_x86_64
Android 14 (API 34)

300 vollständige Diktate hintereinander, im selben Prozess.
Ohne Neustart, ohne Hintergrund, ohne erzwungenes Aufräumen.
Seitengröße für RSS: 4 KB (fest angenommen).

KONTROLLSITZUNG
  Text erkannt: ja, Fehler keiner, Zeiger 112
  in Ordnung

VERLAUF -- jede Sitzung
  Nr   Zeig   Fäden  Java KB  nativ    RSS KB   Start   Dauer   Aufräum Text
  1    112    12     7048     16570    193984   5       2627    0       ja
  2    112    12     7168     16584    193972   5       2611    0       ja
  3    112    12     7272     16598    193960   6       2624    0       ja
  4    112    12     7409     16612    194180   5       2615    0       ja
  5    112    12     7529     16627    194188   6       2620    0       ja
  6    112    12     7617     16641    194420   6       2621    1       ja
  7    111    12     4804     16396    192372   8       2610    1       ja
  8    111    12     4909     16410    192416   5       2614    0       ja
  9    111    12     5029     16424    192404   6       2610    0       ja
  10   114    12     5150     16450    192392   20      2631    0       ja
  11   114    12     5254     16464    192620   5       2612    0       ja
  12   114    12     5390     16478    192620   8       2613    0       ja
  13   114    12     5495     16492    192924   7       2609    1       ja
  14   114    12     5615     16503    191860   17      2613    0       ja
  15   114    13     5734     16526    191848   6       2627    0       ja
  16   114    13     5886     16540    191840   7       2691    0       ja
  17   114    13     5991     16554    192068   5       2623    1       ja
  18   114    13     6095     16568    192056   17      2645    0       ja
  19   114    13     6232     16582    192044   6       2619    0       ja
  20   117    13     6384     16599    192412   6       2618    0       ja
  21   117    13     6520     16613    192400   6       2622    1       ja
  22   117    13     6641     16626    192388   6       2619    0       ja
  23   117    13     6728     16640    192616   6       2664    0       ja
  24   117    13     6864     16655    192628   7       2620    0       ja
  25   117    13     6985     16669    192940   6       2613    0       ja
  26   117    13     7089     16682    193168   5       2627    0       ja
  27   117    13     7208     16696    193160   6       2622    0       ja
  28   117    13     7329     16710    193396   6       2684    1       ja
  29   117    13     7449     16724    193384   16      2623    0       ja
  30   120    13     7586     16741    193372   19      2604    0       ja
  31   120    13     7706     16754    193856   6       2619    1       ja
  32   120    13     7842     16768    193856   6       2620    1       ja
  33   120    13     7962     16782    193844   6       2629    1       ja
  34   120    13     8083     16797    194188   6       2611    0       ja
  35   120    13     8202     16810    194396   7       2650    1       ja
  36   120    13     8338     16824    194388   6       2627    0       ja
  37   120    13     8443     16838    194696   6       2612    0       ja
  38   120    13     8563     16852    194684   5       2609    1       ja
  39   120    13     8699     16866    194672   6       2615    0       ja
  40   123    13     8835     16887    195016   30      2651    0       ja
  41   123    13     8955     16901    195004   5       2614    0       ja
  42   123    13     9092     16915    195236   9       2619    1       ja
  43   123    13     9195     16930    195232   6       2605    0       ja
  44   123    13     4966     16459    192164   5       2626    1       ja
  45   123    13     5102     16473    192396   16      2615    0       ja
  46   123    13     5223     16486    192384   7       2624    0       ja
  47   123    13     5327     16500    192372   5       2633    1       ja
  48   123    13     5447     16514    192600   6       2619    1       ja
  49   123    13     5568     16528    192588   7       2606    0       ja
  50   126    13     5720     16545    192824   16      2612    1       ja
  51   126    13     5871     16559    192812   7       2615    1       ja
  52   126    13     5992     16573    192804   8       2607    0       ja
  53   126    13     6096     16586    193036   5       2615    1       ja
  54   126    13     6217     16600    193024   6       2637    1       ja
  55   126    13     6337     16614    193012   15      2616    0       ja
  56   126    13     6489     16628    193244   9       2611    0       ja
  57   126    13     6593     16641    193232   11      2605    1       ja
  58   126    13     6713     16655    193220   5       2627    0       ja
  59   126    13     6849     16669    193708   6       2656    0       ja
  60   127    13     7177     16732    194072   23      2659    0       ja
  61   127    13     7313     16745    194304   6       2621    0       ja
  62   127    13     7450     16759    194292   9       2627    0       ja
  63   127    13     7553     16773    194284   7       2615    0       ja
  64   127    13     7673     16787    194516   6       2618    0       ja
  65   127    13     7794     16800    194504   8       2616    0       ja
  66   127    13     7913     16814    194492   8       2621    1       ja
  67   127    13     8050     16828    194728   8       2625    0       ja
  68   127    13     8170     16842    194716   8       2652    0       ja
  69   127    13     8306     16856    194704   8       2609    1       ja
  70   127    13     8442     16877    194932   16      2617    0       ja
  71   127    13     8594     16891    194928   14      2618    0       ja
  72   127    13     8698     16905    195164   5       2609    1       ja
  73   127    13     8819     16918    195152   6       2611    0       ja
  74   127    13     8938     16932    195144   7       2615    0       ja
  75   127    13     9074     16946    195376   5       2619    1       ja
  76   127    13     9179     16960    195684   8       2605    1       ja
  77   127    13     5139     16541    192516   12      2612    1       ja
  78   127    13     5260     16555    192728   6       2615    1       ja
  79   127    13     5380     16568    192716   8       2617    0       ja
  80   127    13     5532     16584    192948   6       2631    0       ja
  81   127    13     5653     16598    192940   7       2611    1       ja
  82   127    13     5757     16611    192928   5       2614    0       ja
  83   127    13     5877     16625    193160   6       2630    0       ja
  84   127    13     6013     16639    193148   5       2633    0       ja
  85   127    13     6149     16652    193140   8       2612    1       ja
  86   127    13     6253     16666    193368   7       2618    0       ja
  87   127    13     6390     16680    193356   6       2618    1       ja
  88   127    13     6525     16694    193344   9       2606    1       ja
  89   127    13     6661     16708    193576   12      2630    1       ja
  90   127    13     6798     16724    193564   20      2680    1       ja
  91   127    13     6918     16737    193796   9       2605    0       ja
  92   127    13     7021     16751    193788   6       2621    0       ja
  93   127    13     7158     16765    193776   8       2609    1       ja
  94   127    13     7294     16778    194004   6       2626    0       ja
  95   127    13     7415     16792    193992   7       2608    1       ja
  96   127    13     7518     16806    194248   6       2676    1       ja
  97   127    13     7639     16820    194480   9       2619    0       ja
  98   127    13     7775     16834    194472   9       2605    0       ja
  99   127    13     7910     16847    194460   5       2627    0       ja
  100  127    13     8063     16863    194692   6       2630    0       ja
  101  127    13     8199     16877    194680   6       2605    0       ja
  102  127    13     8319     16891    194912   9       2615    0       ja
  103  127    13     8439     16904    194900   6       2608    0       ja
  104  127    13     8575     16918    194892   6       2608    1       ja
  105  127    13     8679     16932    195124   8       2608    0       ja
  106  127    13     8800     16946    195116   7       2612    0       ja
  107  127    13     8919     16960    195108   6       2634    0       ja
  108  127    13     9055     16973    195336   6       2617    0       ja
  109  127    13     9160     16987    195324   14      2631    0       ja
  110  127    13     5319     16572    192304   6       2678    0       ja
  111  127    13     5423     16586    192532   6       2618    0       ja
  112  127    14     5559     16608    192520   7       2621    0       ja
  113  127    14     5680     16622    192752   6       2619    0       ja
  114  127    14     5800     16636    192744   13      2626    0       ja
  115  127    14     5921     16650    192996   7       2613    0       ja
  116  127    14     6041     16663    193228   15      2614    0       ja
  117  127    14     6161     16677    193216   9       2636    0       ja
  118  127    14     6281     16691    193520   8       2627    1       ja
  119  127    14     6401     16676    193748   7       2610    0       ja
  120  127    14     6553     16692    193736   7       2616    0       ja
  121  127    14     6657     16706    193724   5       2633    0       ja
  122  127    14     6809     16719    193956   6       2607    1       ja
  123  127    14     6945     16733    193944   7       2625    0       ja
  124  127    14     7066     16747    194176   7       2618    0       ja
  125  127    14     7185     16760    194168   6       2628    0       ja
  126  127    14     7305     16774    194156   6       2661    1       ja
  127  127    14     7426     16788    194388   7       2630    1       ja
  128  127    14     7546     16802    194376   8       2617    1       ja
  129  127    14     7666     16815    194368   8       2610    0       ja
  130  127    14     7818     16831    194600   7       2611    0       ja
  131  127    14     7922     16845    194588   15      2608    0       ja
  132  127    14     8058     16859    194576   7       2652    0       ja
  133  127    14     8178     16872    194808   8       2615    1       ja
  134  127    14     8314     16886    194796   8       2606    0       ja
  135  127    14     8419     16900    195292   8       2621    0       ja
  136  127    14     8538     16914    195280   8       2613    0       ja
  137  127    14     8690     16927    195272   8       2632    0       ja
  138  127    14     8795     16941    195500   7       2614    0       ja
  139  127    14     8915     16955    195492   9       2613    0       ja
  140  127    14     9082     16971    195488   8       2605    0       ja
  141  127    14     9203     16985    195720   7       2627    0       ja
  142  127    14     5433     16578    192808   6       2624    0       ja
  143  127    14     5585     16591    193040   9       2610    0       ja
  144  127    14     5706     16605    193028   8       2611    0       ja
  145  127    14     5810     16619    193016   8       2614    0       ja
  146  127    14     5930     16633    193248   8       2606    1       ja
  147  127    14     6051     16646    193236   8       2609    0       ja
  148  127    14     6187     16660    193224   7       2604    0       ja
  149  127    14     6275     16674    193456   7       2618    0       ja
  150  127    14     6459     16689    193448   6       2610    0       ja
  151  127    14     6579     16703    193436   5       2617    1       ja
  152  127    14     6715     16717    193664   8       2608    0       ja
  153  127    14     6851     16731    193656   8       2626    0       ja
  154  127    14     7003     16744    193888   6       2632    1       ja
  155  127    14     7107     16758    193876   9       2617    1       ja
  156  127    14     7228     16772    194128   6       2613    1       ja
  157  127    14     7347     16785    194360   7       2607    0       ja
  158  127    14     7468     16799    194348   6       2664    0       ja
  159  127    14     7588     16813    194336   6       2616    0       ja
  160  127    14     7723     16829    194568   14      2610    0       ja
  161  127    14     7844     16842    194560   6       2621    1       ja
  162  127    14     7964     16856    194548   9       2605    1       ja
  163  127    14     8084     16870    194776   8       2629    0       ja
  164  127    14     8220     16884    195020   6       2620    0       ja
  165  127    14     8340     16897    195256   6       2606    1       ja
  166  127    14     8476     16911    195244   8       2635    1       ja
  167  127    14     8597     16925    195232   8       2604    0       ja
  168  127    14     8732     16938    195464   8       2608    0       ja
  169  127    14     8852     16952    195452   5       2619    0       ja
  170  127    14     9005     16968    195440   21      2613    0       ja
  171  127    14     9124     16982    195672   9       2621    1       ja
  172  127    14     9245     16995    195652   8       2606    0       ja
  173  127    14     5139     16549    192436   10      2608    0       ja
  174  127    14     5276     16563    192428   8       2627    0       ja
  175  127    14     5412     16577    192680   6       2605    0       ja
  176  127    14     5516     16591    192912   5       2614    0       ja
  177  127    14     5637     16604    192904   6       2603    1       ja
  178  127    14     5757     16618    192892   8       2625    0       ja
  179  127    14     5877     16632    193120   15      2610    1       ja
  180  127    14     6029     16647    193108   14      2624    0       ja
  181  127    14     6165     16661    193100   9       2625    0       ja
  182  127    14     6270     16675    193328   5       2615    0       ja
  183  127    14     6390     16688    193316   6       2620    0       ja
  184  127    14     6526     16702    193548   6       2613    1       ja
  185  127    14     6695     16716    193540   5       2615    0       ja
  186  127    14     6799     16729    193528   5       2611    1       ja
  187  127    14     6919     16743    193760   8       2613    0       ja
  188  127    14     7039     16757    193756   6       2616    0       ja
  189  127    14     7175     16771    193744   6       2617    0       ja
  190  127    14     7295     16787    193976   22      2618    1       ja
  191  127    14     7447     16800    193964   8       2609    0       ja
  192  127    14     7551     16814    193956   16      2621    0       ja
  193  127    14     7672     16828    194184   5       2621    0       ja
  194  127    14     7808     16841    194172   8       2608    0       ja
  195  127    14     7928     16855    194404   6       2616    1       ja
  196  127    14     8048     16869    194660   8       2605    1       ja
  197  127    14     8184     16882    194648   9       2612    1       ja
  198  127    14     8304     16896    194880   5       2627    0       ja
  199  127    14     8408     16910    194868   5       2625    1       ja
  200  127    14     8576     16926    194856   18      2643    0       ja
  201  127    14     8712     16939    195084   18      2620    0       ja
  202  127    14     8833     16953    195072   10      2609    0       ja
  203  127    14     8952     16967    195064   9       2629    0       ja
  204  127    14     9072     16980    195292   6       2606    0       ja
  205  127    14     9177     16994    195280   5       2638    0       ja
  206  127    14     9312     17008    195776   17      2607    1       ja
  207  127    14     9433     17022    195768   5       2668    0       ja
  208  127    14     9553     17035    195756   6       2622    0       ja
  209  127    14     9673     17049    195988   5       2618    0       ja
  210  127    14     9841     17065    195976   14      2628    0       ja
  211  127    14     9977     17079    196092   11      2615    0       ja
  212  127    14     5379     16582    192956   5       2611    0       ja
  213  127    14     5499     16595    193840   10      2604    0       ja
  214  127    14     5636     16609    194072   8       2621    1       ja
  215  127    14     5740     16623    194064   5       2625    1       ja
  216  127    14     5860     16637    194316   7       2612    0       ja
  217  127    14     5997     16650    194548   8       2605    0       ja
  218  127    14     6117     16664    194536   8       2612    0       ja
  219  127    14     6253     16678    194528   7       2606    1       ja
  220  127    14     6405     16693    194756   7       2625    0       ja
  221  127    14     6525     16707    194744   7       2607    0       ja
  222  127    14     6645     16721    194732   11      2612    0       ja
  223  127    14     6781     16735    194964   8       2613    0       ja
  224  127    14     6917     16748    194952   8       2621    1       ja
  225  127    14     7022     16762    195184   8       2658    0       ja
  226  127    14     7157     16776    195172   14      2641    0       ja
  227  127    14     7293     16789    195164   9       2663    0       ja
  228  127    14     7414     16803    195396   6       2620    0       ja
  229  127    14     7518     16817    195384   5       2611    1       ja
  230  127    14     7669     16834    195368   18      2618    1       ja
  231  127    14     7790     16847    195596   6       2607    1       ja
  232  127    14     7910     16861    195584   8       2618    0       ja
  233  127    14     8062     16875    195572   6       2617    0       ja
  234  127    14     8182     16888    195804   9       2614    1       ja
  235  127    14     8302     16902    195792   7       2651    1       ja
  236  127    14     8423     16916    196288   9       2625    0       ja
  237  127    14     8542     16929    196276   7       2610    0       ja
  238  127    14     8678     16943    196272   15      2616    0       ja
  239  127    14     8799     16957    196500   9       2614    1       ja
  240  127    14     8967     16973    196488   22      2625    1       ja
  241  127    14     9070     16986    196480   8       2618    0       ja
  242  127    14     9191     17000    196712   10      2616    1       ja
  243  127    14     9311     17014    196700   7       2627    0       ja
  244  127    14     9448     17028    196688   9       2619    0       ja
  245  127    14     9551     17041    196920   5       2627    1       ja
  246  127    14     9671     17055    196908   5       2621    0       ja
  247  127    14     9808     17069    196896   9       2627    0       ja
  248  127    14     9927     17082    197124   15      2619    0       ja
  249  127    14     5500     16612    193728   5       2626    0       ja
  250  127    14     5652     16628    193972   16      2613    0       ja
  251  127    14     5772     16642    193960   5       2622    0       ja
  252  127    14     5893     16655    193948   6       2619    0       ja
  253  127    14     6013     16669    194176   6       2675    1       ja
  254  127    14     6117     16683    194164   8       2603    0       ja
  255  127    14     6254     16697    194420   6       2600    1       ja
  256  127    14     6357     16710    194648   8       2604    0       ja
  257  127    14     6509     16724    194640   5       2609    0       ja
  258  127    14     6614     16738    194872   5       2610    0       ja
  259  127    14     6734     16752    195120   7       2604    0       ja
  260  127    14     6901     16767    195112   22      2618    0       ja
  261  127    14     7022     16781    195344   5       2607    0       ja
  262  127    14     7158     16795    195332   5       2605    1       ja
  263  127    14     7279     16808    195320   6       2601    0       ja
  264  127    14     7382     16822    195552   6       2615    1       ja
  265  127    14     7518     16836    195540   5       2601    0       ja
  266  127    14     7655     16849    195528   7       2612    0       ja
  267  127    14     7774     16863    195756   5       2624    0       ja
  268  127    14     7878     16877    195748   6       2606    0       ja
  269  127    14     8015     16891    195980   5       2603    0       ja
  270  127    14     8151     16906    195968   16      2604    0       ja
  271  127    14     8287     16920    195956   9       2614    0       ja
  272  127    14     8439     16934    196192   6       2626    0       ja
  273  127    14     8559     16948    196180   6       2626    0       ja
  274  127    14     8664     16961    196168   9       2612    0       ja
  275  127    14     8783     16975    196664   11      2624    1       ja
  276  127    14     8919     16989    196652   8       2605    1       ja
  277  127    14     9040     17002    196640   7       2615    0       ja
  278  127    14     9144     17016    196868   7       2620    0       ja
  279  127    14     9263     17030    196860   6       2646    0       ja
  280  127    14     9400     17045    197088   6       2605    0       ja
  281  127    14     9520     17059    197076   6       2669    0       ja
  282  127    14     9656     17073    197064   6       2616    1       ja
  283  127    14     9808     17087    197300   6       2624    0       ja
  284  127    14     9928     17058    197288   6       2677    0       ja
  285  127    14     5665     16594    194020   13      2639    0       ja
  286  127    14     5785     16608    194248   5       2606    0       ja
  287  127    14     5905     16622    194236   8       2621    0       ja
  288  127    14     6010     16636    194472   9       2607    0       ja
  289  127    14     6146     16649    194464   6       2606    1       ja
  290  127    14     6330     16665    194452   15      2623    0       ja
  291  127    14     6435     16679    194680   7       2610    0       ja
  292  127    14     6570     16692    194672   7       2613    0       ja
  293  127    14     6690     16706    194660   6       2640    0       ja
  294  127    14     6827     16720    194888   5       2625    0       ja
  295  127    14     6947     16733    195140   14      2631    1       ja
  296  127    14     7067     16747    195132   6       2626    1       ja
  297  127    14     7203     16761    195360   8       2628    0       ja
  298  127    14     7324     16774    195348   6       2623    0       ja
  299  127    14     7443     16788    195580   9       2623    0       ja
  300  127    14     7579     16803    195572   6       2624    0       ja

ZEIGERARTEN ÜBER DEN LAUF
  Art                      Sitz. 1  Mitte    Ende     Einordnung
  Binder                   2        2        2        unverändert
  Datei in /system         6        6        6        unverändert
  Ereigniszähler           6        6        6        unverändert
  Gerät goldfish_pipe_dprctd 7        7        7        unverändert
  Gerät goldfish_sync      1        1        1        unverändert
  Gerät null               11       10       10       unverändert
  Gerät pmsg0              1        1        1        unverändert
  Gerät urandom            1        1        1        unverändert
  Programmpaket            12       12       12       unverändert
  Rohr                     2        2        2        unverändert
  Steckdose                11       11       11       unverändert
  geteilter Speicher       5        5        5        unverändert
  namenlos [eventpoll]     4        4        4        unverändert
  namenlos sync_file       9        25       25       einmalig beim Aufbau
  sonstiges                34       34       34       unverändert

ZEIGER NACH ART -- Unterschied zwischen Sitzung 1 und 300
  namenlos sync_file       +16
  Gerät null               -1

  Bestand am Ende:
    sonstiges                34
      /sys/kernel/tracing/trace_marker
      /apex/com.android.art/javalib/core-oj.jar
      /apex/com.android.art/javalib/core-libart.jar
      /apex/com.android.art/javalib/okhttp.jar
      /apex/com.android.art/javalib/bouncycastle.jar
    namenlos sync_file       25
      anon_inode:sync_file
    Programmpaket            12
    Steckdose                11
    Gerät null               10
    Gerät goldfish_pipe_dprctd 7
    Datei in /system         6
    Ereigniszähler           6
    geteilter Speicher       5
    namenlos [eventpoll]     4
      anon_inode:[eventpoll]
    Rohr                     2
    Binder                   2
    Gerät pmsg0              1
    Gerät urandom            1
    Gerät goldfish_sync      1

URTEIL
  Sitzungen ohne Text: 0 von 300
  Dateizeiger:   Mitte 127, Ende 127, Zuwachs 0 (0.00 je Sitzung) -- kein Wachstum
  Fäden:         Mitte 14, Ende 14, Zuwachs 0 (0.00 je Sitzung) -- kein Wachstum

  Speicher -- beurteilt am Boden nach der Bereinigung, nicht am Mittel:
  Java-Halde:    **Boden steigt gleichmäßig** (4804 -> 5139 -> 5379, Zuwächse 335, 240) -- Leck möglich
  native Halde:  Boden steigt mit schrumpfenden Zuwächsen (16396 -> 16549 -> 16582, Zuwächse 153, 33) -- pendelt sich ein
