SITZUNGSDAUERLAUF -- Google Pixel 9
Android 17 (API 37)

300 vollständige Diktate hintereinander, im selben Prozess.
Ohne Neustart, ohne Hintergrund, ohne erzwungenes Aufräumen.
Seitengröße für RSS: 4 KB (fest angenommen).

KONTROLLSITZUNG
  Text erkannt: ja, Fehler keiner, Zeiger 143
  in Ordnung

VERLAUF -- jede Sitzung
  Nr   Zeig   Fäden  Java KB  nativ    RSS KB   Start   Dauer   Aufräum Text
  1    143    10     6420     12669    209172   17      3039    2       ja
  2    143    11     6588     12693    209164   19      3015    1       ja
  3    143    11     6764     12708    209436   17      2994    1       ja
  4    143    11     6908     12723    209428   27      2988    2       ja
  5    143    11     7052     12738    209660   17      2958    0       ja
  6    143    11     7228     12753    209652   17      3006    2       ja
  7    143    11     7372     12769    209644   19      2942    1       ja
  8    143    11     7548     12784    209980   20      3004    1       ja
  9    143    11     7693     12799    210500   20      3031    1       ja
  10   145    11     4473     12895    209520   39      2981    1       ja
  11   145    11     4641     12910    209516   23      3007    1       ja
  12   145    11     4818     12925    209280   21      2951    1       ja
  13   145    11     4962     12939    209904   22      3032    2       ja
  14   145    11     5106     12954    209896   25      3014    2       ja
  15   145    11     5282     12968    210132   25      2980    1       ja
  16   145    11     5426     12983    210112   20      2982    1       ja
  17   145    11     5602     12998    210104   24      3027    1       ja
  18   145    11     5746     13013    210340   25      3021    1       ja
  19   145    11     5922     13029    210336   14      2960    1       ja
  20   148    11     6099     13085    211324   38      3031    1       ja
  21   148    11     6275     13101    211556   19      2974    1       ja
  22   148    11     6411     13116    211548   24      2972    1       ja
  23   148    11     6579     13131    211864   20      3031    2       ja
  24   148    11     6723     13147    211924   22      3021    0       ja
  25   148    11     6924     13162    211916   19      2950    1       ja
  26   148    11     7068     13177    212408   16      2964    1       ja
  27   148    11     7204     13193    212400   28      2993    1       ja
  28   148    11     7372     13208    212640   23      2974    1       ja
  29   148    11     7516     13223    212756   19      2967    1       ja
  30   152    11     7757     13243    212836   32      2976    2       ja
  31   152    11     7925     13258    213068   23      3008    1       ja
  32   152    11     8061     13273    213060   19      3007    1       ja
  33   152    11     8269     13288    213296   30      2971    2       ja
  34   152    11     8445     13303    213288   17      2953    1       ja
  35   152    11     8581     13318    213280   22      2962    1       ja
  36   152    11     4525     12950    211100   17      2948    1       ja
  37   152    11     4661     12965    211100   20      3009    1       ja
  38   152    11     4870     12980    211340   20      2992    1       ja
  39   152    11     5046     12995    211548   23      2970    2       ja
  40   156    11     5214     13014    211540   38      3021    0       ja
  41   156    11     5391     13029    211772   16      3037    1       ja
  42   156    11     5567     13044    211764   18      3022    2       ja
  43   156    11     5703     13060    212004   19      2983    1       ja
  44   156    11     5903     13075    211996   19      3013    1       ja
  45   156    11     6047     13090    211988   23      3043    1       ja
  46   156    13     6311     13115    212220   19      2961    1       ja
  47   156    13     6479     13130    212212   25      2959    1       ja
  48   156    13     6623     13145    212452   14      3028    1       ja
  49   156    13     6791     13161    212444   19      2895    2       ja
  50   159    13     7000     13193    214740   33      2967    1       ja
  51   159    13     7136     13208    214732   18      2966    0       ja
  52   159    13     7344     13223    214724   17      2967    1       ja
  53   159    13     7480     13239    214960   20      3034    1       ja
  54   159    13     7616     13254    214952   28      3044    1       ja
  55   159    13     7825     13269    215188   17      2994    1       ja
  56   159    13     7961     13284    215444   12      3058    1       ja
  57   159    13     8169     13300    215436   20      2978    1       ja
  58   159    13     8305     13315    215672   20      3027    1       ja
  59   159    13     8473     13330    215664   27      2992    1       ja
  60   160    13     4601     12983    213196   36      3019    1       ja
  61   160    13     4769     12998    213188   20      3037    1       ja
  62   160    13     4978     13013    213180   21      2989    0       ja
  63   160    13     5114     13028    213412   19      3005    1       ja
  64   160    13     5322     13044    213404   14      2972    1       ja
  65   160    13     5458     13059    213644   19      3030    0       ja
  66   160    13     5658     13074    213636   20      2990    1       ja
  67   160    13     5802     13089    213872   17      3002    1       ja
  68   160    13     5938     13105    213864   20      3020    1       ja
  69   160    13     6146     13120    213856   14      2981    1       ja
  70   159    13     6315     13138    214092   37      2976    1       ja
  71   159    13     6491     13153    214084   24      2978    1       ja
  72   159    13     6659     13169    214320   21      2958    2       ja
  73   159    13     6795     13184    214312   20      2962    1       ja
  74   159    13     6971     13199    214516   25      2863    1       ja
