SITZUNGSDAUERLAUF -- samsung SM-S918B
Android 16 (API 36)

300 vollständige Diktate hintereinander, im selben Prozess.
Ohne Neustart, ohne Hintergrund, ohne erzwungenes Aufräumen.
Seitengröße für RSS: 4 KB (fest angenommen).

KONTROLLSITZUNG
  Text erkannt: ja, Fehler keiner, Zeiger 149
  in Ordnung

VERLAUF -- jede Sitzung
  Nr   Zeig   Fäden  Java KB  nativ    RSS KB   Start   Dauer   Aufräum Text
  1    149    14     11743    13009    161636   6       3059    1       ja
  2    148    13     4427     13287    160404   8       3058    1       ja
  3    148    13     4691     13292    160624   12      3063    0       ja
  4    148    13     4835     13295    160560   6       3065    0       ja
  5    148    13     5011     13299    160556   7       3057    1       ja
  6    148    13     5155     13297    160784   9       3074    1       ja
  7    148    13     5299     13304    160780   12      3060    1       ja
  8    148    13     5476     13308    160776   9       3066    1       ja
  9    148    13     5620     13307    157804   9       3039    0       ja
  10   151    13     5828     13442    158064   8       3058    1       ja
  11   151    13     6028     13437    123996   8       3062    1       ja
  12   151    13     6172     13770    124276   12      3066    0       ja
  13   151    13     6308     13770    116608   6       3047    0       ja
  14   151    13     6476     13770    116848   14      3053    1       ja
  15   151    13     6652     13778    116460   13      3050    0       ja
  16   151    13     6788     13784    116688   14      3059    1       ja
  17   151    13     6956     13788    116928   13      3057    1       ja
  18   151    13     7093     13791    116924   11      3073    1       ja
  19   151    13     7269     13790    117156   12      3068    0       ja
  20   154    14     7533     13956    117152   18      3053    1       ja
  21   154    14     7669     13973    117380   11      3055    1       ja
  22   154    14     7805     13976    117304   15      3073    1       ja
  23   154    14     8013     13974    117300   13      3055    0       ja
  24   154    14     8157     13977    117504   16      3064    1       ja
  25   154    14     8293     13977    117500   12      3065    1       ja
  26   154    14     8493     13982    117728   11      3062    1       ja
  27   154    14     8669     13981    117724   9       3061    1       ja
  28   154    14     8814     13981    117720   11      3069    0       ja
  29   154    14     8982     14006    117948   10      3068    0       ja
  30   158    14     9182     14092    118132   23      3052    0       ja
  31   158    14     9358     14059    118604   12      3060    0       ja
  32   158    14     9526     14013    118600   12      3072    0       ja
  33   158    14     9694     14018    118816   11      3058    0       ja
  34   158    14     9838     13984    118812   11      3049    0       ja
  35   158    14     10006    13987    118808   10      3067    2       ja
  36   158    14     10174    14087    119092   11      3049    1       ja
  37   158    14     10318    14096    118728   13      3073    1       ja
  38   158    14     10487    14101    118348   15      3057    1       ja
  39   158    14     10655    14102    117860   11      3058    1       ja
  40   161    14     10863    14148    117584   27      3068    1       ja
  41   161    14     11031    14154    116936   12      3060    1       ja
  42   161    14     11207    14157    116856   10      3069    1       ja
  43   161    14     11375    14157    117088   7       3070    1       ja
  44   161    14     11607    14165    117084   15      3056    1       ja
  45   161    14     11751    14170    117080   12      3073    1       ja
  46   161    14     11887    14170    117304   12      3060    1       ja
  47   161    14     12095    14173    117300   11      3067    1       ja
  48   161    14     12232    14165    117780   13      3058    1       ja
  49   161    14     12400    14164    117288   16      3050    0       ja
  50   162    14     12640    14243    118356   18      3052    1       ja
  51   162    14     12840    14244    118352   10      3064    1       ja
  52   162    14     13016    14250    118348   13      3053    0       ja
  53   162    14     13184    14257    118580   13      3063    0       ja
  54   162    14     13352    14257    118472   13      3066    0       ja
  55   162    14     13496    14258    118692   11      3075    0       ja
  56   162    14     13664    14258    118688   14      3070    0       ja
  57   162    14     13840    14263    118624   14      3067    0       ja
  58   162    14     13977    14272    118588   11      3073    1       ja
  59   162    14     14177    14273    118332   9       3067    1       ja
  60   162    14     14385    14351    117636   20      3060    1       ja
  61   162    14     14553    14349    117108   15      3070    1       ja
  62   162    14     14761    14365    117240   12      3078    1       ja
  63   162    14     14897    14364    117336   11      3074    1       ja
  64   162    14     15065    14365    116636   12      3069    1       ja
  65   162    14     15241    14371    114888   10      3058    0       ja
  66   162    14     15377    14371    114460   7       3074    1       ja
  67   162    14     15553    14379    114424   13      3077    0       ja
  68   162    14     15722    14380    111972   13      3077    0       ja
  69   162    14     15890    14383    110868   14      3071    1       ja
  70   162    14     16130    14461    111092   22      3073    1       ja
  71   162    14     16298    14460    111088   11      3069    0       ja
  72   162    14     16474    14463    111320   15      3072    0       ja
  73   162    14     16610    14463    111304   15      3074    1       ja
  74   162    14     16810    14468    111296   15      3059    1       ja
  75   162    14     16954    14468    111504   12      3062    1       ja
  76   162    14     17090    14506    111504   14      3078    1       ja
  77   162    14     17330    14510    111732   13      3071    1       ja
  78   162    14     17466    14514    111728   13      3049    1       ja
  79   162    14     17635    14518    111932   18      3054    1       ja
  80   162    14     17875    14609    112484   19      3066    0       ja
  81   162    14     18011    14615    112480   11      3064    1       ja
  82   162    14     18219    14615    112708   15      3068    1       ja
  83   162    14     18387    14622    112912   15      3073    1       ja
  84   162    14     18555    14622    113148   12      3082    1       ja
  85   162    14     18699    14621    113144   13      3079    1       ja
  86   162    14     18899    14631    113372   12      3067    0       ja
  87   162    14     19075    14634    113368   12      3064    1       ja
  88   162    14     19211    14637    113364   13      3074    1       ja
  89   162    14     19412    14636    113596   12      3071    1       ja
  90   162    14     19588    14714    113648   15      3064    1       ja
  91   162    14     19756    14718    113884   14      3073    1       ja
  92   162    14     19932    14715    113880   13      3064    1       ja
  93   162    14     20100    14717    114104   12      3072    1       ja
  94   162    14     20268    14724    114344   13      3074    1       ja
  95   162    14     20412    14728    114340   11      3073    1       ja
  96   162    14     20580    14732    114824   12      3075    1       ja
  97   162    14     20756    14732    114820   12      3070    1       ja
  98   162    14     20892    14732    115048   13      3069    0       ja
  99   162    14     21125    14735    115044   12      3081    1       ja
  100  162    14     21333    14796    115300   24      3064    0       ja
  101  162    14     21469    14793    113928   13      3061    1       ja
  102  162    14     21677    14803    113904   16      3060    1       ja
  103  162    14     21813    14808    114136   13      3057    0       ja
  104  162    14     21981    14810    114132   13      3075    1       ja
  105  162    14     22189    14780    114024   10      3077    1       ja
  106  162    14     22325    14787    114020   13      3059    1       ja
  107  162    14     22501    14790    114012   13      3063    1       ja
  108  162    14     22669    14790    114240   11      3084    0       ja
  109  162    14     22837    14779    114236   12      3069    0       ja
  110  162    14     23046    14864    114780   35      3057    1       ja
  111  162    14     23214    14864    114776   11      3064    0       ja
  112  162    14     23390    14842    114772   11      3068    1       ja
  113  162    14     23526    14847    115000   13      3053    1       ja
  114  162    14     23726    14848    114996   14      3064    1       ja
  115  162    14     23870    14850    115228   16      3073    1       ja
  116  162    14     24038    14850    115224   13      3076    1       ja
  117  162    14     24278    14853    115456   12      3068    1       ja
  118  162    14     24414    14855    115452   14      3067    1       ja
  119  162    14     24582    14853    115448   11      3079    1       ja
  120  162    14     24855    14931    115680   20      3068    0       ja
  121  162    14     24991    14935    115676   14      3080    1       ja
  122  162    14     25167    14942    115904   13      3075    1       ja
  123  162    14     25335    14947    115900   12      3054    1       ja
  124  162    14     25503    14953    116136   14      3088    1       ja
  125  162    14     25647    14952    116364   11      3073    1       ja
  126  162    14     25815    14957    115992   15      3061    1       ja
  127  162    14     25991    14959    116228   14      3056    1       ja
  128  162    14     26127    14957    116224   13      3067    1       ja
  129  162    14     26327    14963    116456   14      3066    0       ja
  130  162    14     26536    15042    116596   25      3071    1       ja
  131  162    14     26672    15043    116592   13      3070    1       ja
  132  162    14     26880    15044    116820   14      3069    1       ja
  133  162    14     27048    15047    116788   12      3056    1       ja
  134  162    14     27216    15053    116836   12      3082    1       ja
  135  162    14     27392    15057    116804   12      3070    1       ja
  136  162    14     27528    15058    117280   13      3065    1       ja
  137  162    14     27704    15058    117276   14      3065    1       ja
  138  162    14     27904    15060    116828   12      3059    1       ja
  139  162    14     28072    15068    117008   12      3067    0       ja
  140  162    14     28281    15148    117256   22      3063    1       ja
  141  162    14     28449    15150    116984   15      3057    1       ja
  142  162    14     28625    15152    116980   13      3076    1       ja
  143  162    14     28761    15153    116976   14      3057    1       ja
  144  162    14     5143     13785    107900   12      3057    1       ja
  145  162    14     5343     13788    107896   13      3074    0       ja
  146  162    14     5487     13793    108128   13      3071    1       ja
  147  162    14     5655     13806    107852   12      3065    1       ja
  148  162    14     5831     13805    108352   12      3072    0       ja
  149  162    14     5967     13805    108348   10      3071    1       ja
  150  162    14     6232     13950    108340   26      3072    1       ja
  151  162    14     6376     13955    108572   15      3061    1       ja
  152  162    14     6512     13960    108560   14      3067    1       ja
  153  162    14     6720     13959    108764   12      3077    1       ja
  154  162    14     6856     13962    108748   12      3084    0       ja
  155  162    14     7024     13964    108980   13      3070    1       ja
  156  162    14     7200     13973    109212   14      3071    1       ja
  157  162    14     7336     13974    109208   12      3074    0       ja
  158  162    14     7512     13979    109436   17      3061    1       ja
  159  162    14     7680     13978    109432   14      3056    0       ja
  160  162    14     7945     14054    105804   15      3038    0       ja
  161  162    14     8089     14054    105804   7       3046    1       ja
  162  162    14     8257     14064    105800   12      3067    0       ja
  163  162    14     8433     14068    106028   9       3063    0       ja
  164  162    14     8601     14070    106048   12      3082    1       ja
  165  162    14     8801     14074    106044   10      3079    0       ja
  166  162    14     8945     14075    106276   10      3062    1       ja
  167  162    14     9081     14077    106272   14      3068    0       ja
  168  162    14     9289     14083    106500   11      3074    1       ja
  169  162    14     9425     14088    106496   16      3075    1       ja
  170  162    14     9690     14166    106764   19      3056    0       ja
  171  162    14     9866     14165    106992   16      3058    0       ja
  172  162    14     10002    14167    107244   15      3064    1       ja
  173  162    14     10178    14166    107468   21      3070    0       ja
  174  162    14     10346    14164    107460   11      3066    1       ja
  175  162    14     10514    14171    107456   15      3055    1       ja
  176  162    14     10658    14174    107684   10      3076    0       ja
  177  162    14     10858    14181    107680   14      3058    1       ja
  178  162    14     11034    14186    107916   11      3057    1       ja
  179  162    14     11170    14192    107908   13      3079    1       ja
  180  162    14     11467    14227    108128   20      3074    1       ja
  181  162    14     11611    14231    107904   15      3062    1       ja
  182  162    14     11747    14229    107900   13      3067    0       ja
  183  162    14     11955    14234    108124   13      3067    1       ja
  184  162    14     12091    14242    108120   9       3065    1       ja
  185  162    14     12259    14242    108348   17      3077    0       ja
  186  162    14     12435    14245    108344   11      3082    1       ja
  187  162    14     12571    14242    108340   13      3069    0       ja
  188  162    14     12747    14254    108572   13      3068    1       ja
  189  162    14     12915    14250    108568   11      3062    1       ja
  190  162    14     13116    14370    108796   13      3070    0       ja
