SITZUNGSDAUERLAUF -- Google sdk_gphone64_x86_64
Android 14 (API 34)

900 vollständige Diktate hintereinander, im selben Prozess.
Ohne Neustart, ohne Hintergrund, ohne erzwungenes Aufräumen.
Seitengröße für RSS: 4 KB (fest angenommen).

KONTROLLSITZUNG
  Text erkannt: ja, Fehler keiner, Zeiger 112
  in Ordnung

VERLAUF -- jede Sitzung
  Nr   Zeig   Fäden  Java KB  nativ    RSS KB   Start   Dauer   Aufräum Text
  1    112    14     7079     16588    193512   6       2632    1       ja
  2    112    14     7184     16602    193500   6       2612    0       ja
  3    112    14     7320     16616    193488   7       2614    1       ja
  4    112    14     7440     16630    193716   9       2644    1       ja
  5    112    14     7560     16645    194184   6       2611    1       ja
  6    112    14     7649     16659    194416   6       2617    0       ja
  7    111    14     4788     16415    192468   6       2662    0       ja
  8    111    14     4925     16429    192504   6       2626    1       ja
  9    111    14     5045     16443    192492   7       2647    0       ja
  10   114    14     5166     16469    192488   5       2644    0       ja
  11   114    14     5286     16482    192724   6       2622    0       ja
  12   114    14     5406     16496    192712   4       2606    0       ja
  13   114    14     5511     16510    192972   6       2636    1       ja
  14   114    14     5615     16524    193200   7       2617    0       ja
  15   114    14     5735     16538    193428   6       2611    1       ja
  16   114    14     5871     16552    193420   7       2617    0       ja
  17   114    14     5975     16566    193648   7       2616    0       ja
  18   114    14     6112     16580    193956   5       2620    1       ja
  19   114    14     6215     16593    193944   7       2612    0       ja
  20   117    14     6367     16611    194312   16      2631    0       ja
  21   117    14     6503     16625    194300   6       2615    0       ja
  22   117    14     6640     16638    194288   7       2606    1       ja
  23   117    14     6743     16652    194516   7       2616    0       ja
  24   117    14     6863     16667    194516   6       2683    0       ja
  25   117    14     6984     16680    194508   6       2637    1       ja
  26   117    14     7088     16694    194736   7       2606    0       ja
  27   117    14     7223     16708    194728   8       2604    1       ja
  28   117    14     7360     16722    194720   6       2613    0       ja
  29   117    14     7480     16736    194948   6       2611    0       ja
  30   120    14     7632     16755    194932   21      2621    0       ja
  31   120    14     7768     16769    195428   7       2654    0       ja
  32   120    14     7889     16783    195424   7       2623    0       ja
  33   120    14     7993     16797    195412   7       2619    0       ja
  34   120    14     8114     16811    195648   6       2615    0       ja
  35   120    14     8233     16825    195856   6       2681    0       ja
  36   120    14     8353     16839    195844   7       2609    0       ja
  37   120    14     8474     16852    196072   9       2619    1       ja
  38   120    14     8594     16866    196152   8       2611    0       ja
  39   120    14     8713     16880    196256   6       2630    1       ja
  40   123    14     8850     16899    196556   5       2612    0       ja
  41   123    14     8986     16913    196536   5       2603    1       ja
  42   123    14     9123     16927    196524   9       2622    1       ja
  43   123    14     9242     16941    196884   6       2613    0       ja
  44   123    14     5028     16471    193728   6       2616    0       ja
  45   123    14     5149     16485    193964   5       2616    0       ja
  46   123    14     5269     16498    193952   6       2631    0       ja
  47   123    14     5390     16512    193940   6       2632    0       ja
  48   123    14     5526     16526    194168   5       2606    1       ja
  49   123    14     5646     16540    194156   7       2623    0       ja
  50   126    14     5783     16557    194156   16      2616    1       ja
  51   126    14     5918     16571    194388   6       2611    0       ja
  52   126    14     6038     16585    194376   8       2659    0       ja
  53   126    14     6143     16598    194608   9       2619    0       ja
  54   126    14     6263     16612    194596   7       2632    0       ja
  55   126    14     6399     16626    194588   10      2647    1       ja
  56   126    14     6551     16640    195080   8       2639    0       ja
  57   126    14     6671     16654    195068   6       2615    0       ja
  58   126    14     6791     16667    195056   9       2616    0       ja
  59   126    14     6927     16681    195288   9       2606    1       ja
  60   127    14     7047     16698    195276   6       2616    0       ja
  61   127    14     7184     16711    195264   8       2622    0       ja
  62   127    14     7303     16725    195496   5       2607    1       ja
  63   127    14     7407     16739    195484   7       2619    1       ja
  64   127    14     7544     16753    195716   7       2619    0       ja
  65   127    14     7664     16767    195704   7       2610    0       ja
  66   127    14     7816     16780    195696   7       2632    0       ja
  67   127    14     7920     16794    195928   7       2606    0       ja
  68   127    14     8056     16808    195916   6       2610    1       ja
  69   127    14     8177     16822    195904   6       2621    1       ja
  70   127    14     8312     16838    196136   24      2620    0       ja
  71   127    14     8448     16851    196124   13      2610    1       ja
