VERZUG -- samsung SM-A156B
Android 16 (API 36)

20 Läufe mit derselben Aufnahme. Alle Zeiten ab t2 --
dem ersten Byte im Rohr. Vorher fließt kein Ton, da wäre jede
Messung nur die Ladezeit des Dienstes.

EINZELNE LÄUFE (ms ab t2)
  Nr   t1 bereit  t3 Sprache   t4 1. Stand  t5 1. Segm   Fehler  
  1    37         1250         1622         3317         -       
  2    20         396          1113         3365         -       
  3    19         395          1117         3375         -       
  4    21         390          1113         3436         -       
  5    24         393          1117         3431         -       
  6    14         392          1113         3432         -       
  7    16         396          1116         3436         -       
  8    19         396          1117         3434         -       
  9    16         393          1115         3433         -       
  10   15         395          1116         3435         -       
  11   20         394          1117         3437         -       
  12   15         392          1116         3432         -       
  13   16         393          1118         3436         -       
  14   16         393          1113         3361         -       
  15   13         395          1114         3425         -       
  16   18         391          1117         3429         -       
  17   19         395          1114         3368         -       
  18   17         396          1116         3434         -       
  19   17         394          1120         3436         -       
  20   20         396          1117         3433         -       

KENNZAHLEN
  Größe                        P50       P95       Mittel    min..max      Ausbeute
  t0->t1 Aufnahme bereit       288       704       349       273..1100     20 von 20
  t2->t4 Erkenner bereit       17        24        19        13..37        20 von 20
  t2->t3 Sprache erkannt       394       396       437       390..1250     20 von 20
  t2->t5 erster Text sichtbar  1116      1120      1141      1113..1622    20 von 20
  t2->t6 erstes Segment        3432      3436      3414      3317..3437    20 von 20
  t7 Sprachende                6046      6054      6044      6020..6060    20 von 20
  t7->t8 Sprachende bis Text   73        80        74        67..85        20 von 20
  t7->t9 Sprachende bis frei   76        83        77        68..89        20 von 20

URTEIL
  **Der Verzug ist erträglich, aber spürbar**: 1120 ms im schlechten Fall. Der Nutzer merkt die Pause. Die Anzeige sollte in dieser Zeit erkennbar arbeiten, statt leer zu bleiben.
